,Date,Chaine,Part_de_marche,Jour,Heure_prgm1,Titre_prgm1,Type_prgm1,Duree_prgm1,Nbre_episodes_prgm1,Age_conseille_prgm1,Heure_prgm2,Titre_prgm2,Type_prgm2,Duree_prgm2,Nbre_episodes_prgm2,Age_conseille_prgm2
29,11 octobre 2014,NRJ 12,1.3,samedi,20.50,Pièges de stars,Divertissement,120 mn,NA,NA,22.50,Le super bêtisier de l'année,Divertissement,210 mn,2 ,NA
30,11 octobre 2014,RMC Decouverte,0.8,samedi,20.45,Alien Theory,Documentaire,100 mn,5 ,NA,NA,Alien Theory,Documentaire,NA,5 ,NA
31,11 octobre 2014,C Star,0.8,samedi,20.50,One Piece : épisode de Merry,Telefilm,115 mn,NA,-10 ans,22.45,Le Zap choc,Divertissement,120 mn,NA,NA
32,11 octobre 2014,6ter,0.7,samedi,20.50,"Hitler, la folie d'un homme",Documentaire,85 mn,NA,-10 ans,22.15,"Staline, le tyran rouge",Documentaire,80 mn,NA,NA
33,11 octobre 2014,RMC Story,0.5,samedi,20.40,P.J,Serie TV,100 mn,3 ,NA,23.30,Phénomène paranormal,Documentaire,90 mn,2 ,NA
34,12 octobre 2014,France 2,18.2,dimanche,20.45,Inglourious Basterds,Film,155 mn,NA,-12 ans,23.20,"Un jour, un destin",Magazine,100 mn,NA,NA
35,12 octobre 2014,TF1,18.1,dimanche,20.55,"The Dark Knight, le chevalier noir",Film,170 mn,NA,-10 ans,23.45,Esprits criminels,Serie TV,110 mn,2 ,-10 ans
36,12 octobre 2014,M6,14.1,dimanche,20.50,Capital,Magazine,130 mn,NA,NA,23.00,Enquête exclusive,Magazine,200 mn,2 ,NA
37,12 octobre 2014,France 3,13.7,dimanche,20.45,Les enquêtes de Murdoch,Serie TV,100 mn,4 ,NA,NA,Les enquêtes de Murdoch,Serie TV,NA,4 ,NA
38,12 octobre 2014,France 5,5.1,dimanche,20.40,La voiture électrique : pas si écolo !,Documentaire,50 mn,NA,NA,22.26,Trente ans de guerre au nom de Dieu,Documentaire,54 mn,NA,NA
39,12 octobre 2014,C8,3,dimanche,20.50,Je reste !,Film,120 mn,NA,NA,22.50,En quête d'actualité,Magazine,105 mn,NA,NA
40,12 octobre 2014,TMC,2.9,dimanche,20.50,Les experts : Manhattan,Serie TV,110 mn,4 ,-10 ans,NA,Les experts : Manhattan,Serie TV,NA,4 ,NA
41,12 octobre 2014,TFX,2.5,dimanche,20.50,Coup de foudre à Manhattan,Film,115 mn,NA,NA,22.45,Confessions intimes,Magazine,230 mn,2 ,NA
42,12 octobre 2014,France 4,2.4,dimanche,20.45,Octopussy,Film,125 mn,NA,NA,22.50,Green Zone,Film,100 mn,NA,NA
43,12 octobre 2014,NRJ 12,2,dimanche,20.50,Takers,Film,115 mn,NA,-10 ans,22.45,Total Recall,Film,110 mn,NA,-12 ans
44,12 octobre 2014,W9,2,dimanche,20.50,Sleepy Hollow,Serie TV,110 mn,5 ,-12 ans,NA,Sleepy Hollow,Serie TV,NA,5 ,NA
45,12 octobre 2014,Arte,1.7,dimanche,20.45,Tous en scène,Film,110 mn,NA,NA,22.35,Let's Dance,Documentaire,55 mn,NA,NA
46,12 octobre 2014,Gulli,1.6,dimanche,20.45,Le mouton à cinq pattes,Film,110 mn,NA,NA,22.35,Le grand chef,Film,100 mn,NA,NA
47,12 octobre 2014,C Star,1.3,dimanche,20.50,Les duos impossibles de Jérémy Ferrari,Spectacle,120 mn,NA,NA,22.50,Sexe et fantasmes à Hollywood,Telefilm,110 mn,NA,-16 ans
48,12 octobre 2014,6ter,0.7,dimanche,20.50,Indian Palace,Film,80 mn,NA,NA,22.10,Narco,Film,165 mn,NA,NA
49,12 octobre 2014,RMC Story,0.7,dimanche,20.40,Révélations,Film,170 mn,NA,-10 ans,23.30,Ink Master : le meilleur tatoueur,Telerealitee,45 mn,NA,NA
50,12 octobre 2014,RMC Decouverte,0.3,dimanche,20.45,Whale wars: iles Feroe,Documentaire,60 mn,5 ,NA,NA,Whale wars: iles Feroe,Documentaire,NA,5 ,NA
51,13 octobre 2014,TF1,23.8,lundi,20.55,Une famille formidable,Serie TV,110 mn,NA,NA,22.45,"New York, unité spéciale",Serie TV,110 mn,3 ,-12 ans
52,13 octobre 2014,France 2,20.4,lundi,20.50,Castle,Serie TV,90 mn,3 ,NA,23.05,Un oeil sur la planète,Magazine,100 mn,NA,NA
53,13 octobre 2014,M6,9.8,lundi,20.50,Extant,Serie TV,110 mn,3 ,-10 ans,23.25,Under the Dome,Serie TV,110 mn,2 ,-10 ans
54,13 octobre 2014,France 3,8.8,lundi,20.45,Elles étaient en guerre (1914-1918),Documentaire,95 mn,NA,NA,22.20,Quand la Grande Guerre rend fou,Documentaire,50 mn,NA,-10 ans
55,13 octobre 2014,W9,4.9,lundi,20.50,Killer Elite,Film,130 mn,NA,-12 ans,23.00,Enquête d'action,Magazine,135 mn,NA,-10 ans
56,13 octobre 2014,TMC,3.4,lundi,20.50,Very Bad Trip 2,Film,110 mn,NA,-12 ans,22.40,Léon,Film,110 mn,NA,-12 ans
