,Date,Chaine,Part_de_marche,Jour,Heure_prgm1,Titre_prgm1,Type_prgm1,Duree_prgm1,Nbre_episodes_prgm1,Age_conseille_prgm1,Heure_prgm2,Titre_prgm2,Type_prgm2,Duree_prgm2,Nbre_episodes_prgm2,Age_conseille_prgm2
395,11 novembre 2014,C8,5.1,mardi,20.50,Rambo 2 : la mission,Film,115 mn,NA,NA,22.45,Rambo,Film,100 mn,NA,-10 ans
396,11 novembre 2014,France 5,3.4,mardi,20.41,"Autoroutes, parkings et stationnements : le grand profit",Documentaire,64 mn,NA,NA,21.45,"PME, sauve qui peut...",Documentaire,55 mn,NA,NA
397,11 novembre 2014,France 5,1.1,mardi,20.41,"Autoroutes, parkings et stationnements : le grand profit",Documentaire,64 mn,NA,NA,21.45,"PME, sauve qui peut...",Documentaire,55 mn,NA,NA
398,11 novembre 2014,TMC,3.0,mardi,20.50,90' enquêtes,Magazine,110 mn,2 ,NA,23.30,"New York, section criminelle",Serie TV,130 mn,3 ,-10 ans
399,11 novembre 2014,W9,3.0,mardi,20.50,Mon pire cauchemar,Film,95 mn,NA,NA,22.25,"OSS 117, Rio ne répond plus",Film,120 mn,NA,NA
400,11 novembre 2014,NRJ 12,2.6,mardi,20.50,Hot Shots !,Film,95 mn,NA,NA,22.25,Hot Shots ! 2,Film,95 mn,NA,NA
401,11 novembre 2014,Gulli,1.6,mardi,20.45,"Hocus Pocus, les trois sorcières",Film,100 mn,NA,NA,22.25,"La famille Addams, les retrouvailles",Telefilm,90 mn,NA,NA
402,11 novembre 2014,RMC Decouverte,1.1,mardi,20.45,Les traces cachées,Documentaire,55 mn,NA,NA,22.35,1914-2014 : Centenaire de la 1ère Guerre Mondiale,Documentaire,55 mn,NA,NA
403,11 novembre 2014,C Star,0.9,mardi,20.50,Panique sur la côte,Telefilm,100 mn,NA,-10 ans,22.30,Les dents de sabre,Telefilm,100 mn,NA,-12 ans
404,11 novembre 2014,France 4,0.8,mardi,20.45,Permis de conduire : l'expérience inédite,Magazine,120 mn,3 ,-10 ans,00.00,Cam Clash,Divertissement,100 mn,2 ,NA
405,11 novembre 2014,TFX,0.6,mardi,20.50,Revolution,Serie TV,110 mn,3 ,-10 ans,23.30,The Walking Dead,Serie TV,130 mn,2 ,-16 ans
406,11 novembre 2014,6ter,0.5,mardi,20.50,Once Upon a Time,Serie TV,110 mn,5 ,NA,NA,Once Upon a Time,Serie TV,NA,5 ,NA
407,11 novembre 2014,RMC Story,0.3,mardi,20.45,L'art (délicat) de la séduction,Film,120 mn,NA,-10 ans,22.45,Révélations,Magazine,100 mn,NA,-12 ans
408,12 novembre 2014,TF1,26.2,mercredi,20.55,Esprits criminels,Serie TV,90 mn,3 ,-12 ans,23.25,Arrow,Serie TV,90 mn,2 ,-10 ans
409,12 novembre 2014,France 2,18.7,mercredi,20.50,Rouge sang,Telefilm,90 mn,NA,-10 ans,22.30,Un soir à la tour Eiffel,Magazine,100 mn,NA,NA
410,12 novembre 2014,M6,14.5,mercredi,20.50,Le meilleur pâtissier,Divertissement,150 mn,NA,NA,23.20,Le meilleur pâtissier : à vos fourneaux !,Divertissement,65 mn,NA,NA
411,12 novembre 2014,France 3,9.3,mercredi,20.45,Les carnets de Julie,Magazine,125 mn,NA,NA,23.46,La favorite,Opera,154 mn,NA,NA
412,12 novembre 2014,TMC,2.8,mercredi,20.50,Les 30 histoires...,Divertissement,145 mn,NA,NA,23.15,Les 30 histoires...,Divertissement,130 mn,NA,NA
413,12 novembre 2014,Arte,2.7,mercredi,20.50,Simon Werner a disparu...,Film,85 mn,NA,NA,22.15,L'Europe des écrivains,Documentaire,55 mn,NA,NA
414,12 novembre 2014,France 5,2.4,mercredi,20.40,La maison France 5,Magazine,60 mn,NA,NA,21.40,"Silence, ça pousse !",Magazine,50 mn,NA,NA
415,12 novembre 2014,W9,2.3,mercredi,20.50,Enquêtes criminelles : le magazine des faits divers,Magazine,230 mn,3 ,-10 ans,NA,Enquêtes criminelles : le magazine des faits divers,Magazine,NA,3 ,NA
416,12 novembre 2014,C8,2.2,mercredi,20.50,En quête d'actualité,Magazine,200 mn,2 ,NA,00.20,Programme de nuit,Information,340 mn,NA,NA
417,12 novembre 2014,TFX,1.9,mercredi,20.50,24 heures aux urgences,Documentaire,150 mn,3 ,NA,NA,24 heures aux urgences,Documentaire,NA,3 ,NA
418,12 novembre 2014,NRJ 12,1.6,mercredi,20.50,Hyper tempête,Telefilm,95 mn,NA,NA,22.25,Super cyclone,Telefilm,95 mn,NA,-10 ans
419,12 novembre 2014,France 4,1.6,mercredi,20.46,Le monde de Charlie,Film,104 mn,NA,NA,22.31,Le silence de Lorna,Film,99 mn,NA,-10 ans
420,12 novembre 2014,C Star,1.3,mercredi,20.50,True Justice,Serie TV,100 mn,NA,-10 ans,22.30,Attack Force,Telefilm,100 mn,NA,-10 ans
421,12 novembre 2014,Gulli,1.1,mercredi,20.45,Rintintin,Serie TV,50 mn,6 ,NA,NA,Rintintin,Serie TV,NA,6 ,NA
422,12 novembre 2014,RMC Story,1,mercredi,20.45,Ink Master : le meilleur tatoueur,Telerealitee,110 mn,5 ,NA,NA,Ink Master : le meilleur tatoueur,Telerealitee,NA,5 ,NA
423,12 novembre 2014,RMC Story,0.7,mercredi,20.45,Ink Master : le meilleur tatoueur,Telerealitee,110 mn,5 ,NA,NA,Ink Master : le meilleur tatoueur,Telerealitee,NA,5 ,NA
424,12 novembre 2014,6ter,0.7,mercredi,20.50,Desperate Housewives,Serie TV,100 mn,4 ,NA,NA,Desperate Housewives,Serie TV,NA,4 ,NA
425,13 novembre 2014,TF1,28.8,jeudi,20.55,Profilage,Serie TV,130 mn,4 ,NA,NA,Profilage,Serie TV,NA,4 ,NA
426,13 novembre 2014,France 2,11.8,jeudi,20.50,Envoyé spécial,Magazine,95 mn,NA,NA,22.25,Complément d'enquête,Magazine,60 mn,NA,NA
427,13 novembre 2014,France 3,9.5,jeudi,20.45,Mon meilleur ami,Film,95 mn,NA,NA,23.26,La permission de minuit,Film,104 mn,NA,NA
428,13 novembre 2014,M6,8,jeudi,20.50,Rising Star,Divertissement,130 mn,NA,NA,23.00,"Rising Star, de l'autre côté du mur",Divertissement,60 mn,NA,NA
429,13 novembre 2014,TMC,6.7,jeudi,20.50,Les visiteurs,Film,115 mn,NA,NA,22.45,Enfin veuve,Film,105 mn,NA,NA
430,13 novembre 2014,W9,4.9,jeudi,20.50,Sans issue,Film,95 mn,NA,-10 ans,22.25,Go Fast,Film,105 mn,NA,NA
431,13 novembre 2014,C8,2.9,jeudi,20.50,La vie est un long fleuve tranquille,Film,105 mn,NA,NA,22.35,Touche pas à mon poste !,Talk-Show,90 mn,NA,NA
432,13 novembre 2014,TFX,2.5,jeudi,20.50,Chronicle,Film,100 mn,NA,-12 ans,22.30,The Walking Dead,Serie TV,100 mn,4 ,-16 ans
433,13 novembre 2014,C Star,2.1,jeudi,20.40,Match amical Espoirs,Sport,120 mn,NA,NA,22.40,Alex Rider - Stormbreaker,Film,105 mn,NA,NA
434,13 novembre 2014,France 5,1.9,jeudi,20.40,La grande librairie,Magazine,60 mn,NA,NA,21.40,Les grandes questions,Magazine,55 mn,NA,NA
435,13 novembre 2014,Arte,1.8,jeudi,20.50,Lilyhammer,Serie TV,100 mn,2 ,NA,22.25,L'hôpital et ses fantômes,Serie TV,130 mn,2 ,NA
436,13 novembre 2014,NRJ 12,1.8,jeudi,20.50,Tellement vrai,Magazine,190 mn,3 ,NA,NA,Tellement vrai,Magazine,NA,3 ,NA
437,13 novembre 2014,Gulli,1.6,jeudi,20.45,Une nana pas comme les autres,Telefilm,90 mn,NA,NA,22.15,Une nounou pas comme les autres,Telefilm,90 mn,NA,NA
438,13 novembre 2014,France 4,1.5,jeudi,20.45,"Nous, les hommes de 14-18",Documentaire,110 mn,2 ,NA,22.30,Anarchy,Serie TV,30 mn,NA,NA
439,13 novembre 2014,6ter,1.4,jeudi,20.50,Le marginal,Film,105 mn,NA,-10 ans,22.35,Kaamelott,Serie TV,220 mn,NA,NA
440,13 novembre 2014,RMC Decouverte,0.8,jeudi,20.45,Les mystères de l'univers,Documentaire,90 mn,6 ,NA,NA,Les mystères de l'univers,Documentaire,NA,6 ,NA
441,13 novembre 2014,RMC Story,0.8,jeudi,20.45,Highlander,Film,125 mn,NA,-10 ans,22.50,Bloodsport,Film,110 mn,NA,-10 ans
442,14 novembre 2014,France 2,23.1,vendredi,20.50,Patrick Sébastien Ze Fiesta ! 40 ans de scène,Divertissement,165 mn,NA,NA,23.45,"Sébastien, l'imitateur caméléon",Documentaire,115 mn,NA,NA
443,14 novembre 2014,TF1,22.5,vendredi,20.35,Match amical,Sport,125 mn,NA,NA,22.45,Mon incroyable fiancé,Telerealitee,100 mn,3 ,NA
444,14 novembre 2014,M6,16.7,vendredi,20.50,NCIS,Serie TV,90 mn,5 ,-10 ans,NA,NCIS,Serie TV,NA,5 ,NA
445,14 novembre 2014,France 3,5.9,vendredi,20.45,Thalassa,Magazine,115 mn,NA,NA,23.21,Banlieusards : 40 ans à Chanteloup-les-Vignes,Documentaire,64 mn,NA,NA
446,14 novembre 2014,Arte,3.5,vendredi,20.50,Palace Beach Hotel,Telefilm,95 mn,NA,NA,22.25,Les superpouvoirs de l'urine,Documentaire,50 mn,NA,NA
447,14 novembre 2014,W9,3.2,vendredi,20.50,Enquête d'action,Magazine,260 mn,3 ,-10 ans,NA,Enquête d'action,Magazine,NA,3 ,NA
448,14 novembre 2014,TMC,2.8,vendredi,20.50,Les experts : Manhattan,Serie TV,100 mn,6 ,-10 ans,NA,Les experts : Manhattan,Serie TV,NA,6 ,NA
449,14 novembre 2014,NRJ 12,2.4,vendredi,20.50,Sauveur Giordano,Serie TV,210 mn,3 ,NA,NA,Sauveur Giordano,Serie TV,NA,3 ,NA
450,14 novembre 2014,C8,2.4,vendredi,20.50,Derrière le poste,Divertissement,200 mn,2 ,NA,00.20,Programmes de nuit,Magazine,340 mn,NA,NA
451,14 novembre 2014,France 5,1.8,vendredi,20.35,On n'est pas que des cobayes !,Magazine,100 mn,2 ,NA,22.25,C dans l'air,Magazine,70 mn,NA,NA
452,14 novembre 2014,France 4,1.5,vendredi,20.45,Les aventures de Billy Stone : le médaillon sacré,Film,80 mn,NA,NA,22.05,L'attaque des Titans,Dessin-anime,50 mn,6 ,NA
453,14 novembre 2014,TFX,1.3,vendredi,20.50,"Pascal, le grand frère",Magazine,190 mn,2 ,-10 ans,23.55,Confessions intimes,Magazine,110 mn,NA,NA
454,14 novembre 2014,Gulli,1.2,vendredi,20.45,Flicka 3 : meilleures amies,Telefilm,95 mn,NA,NA,22.20,Flicka 2 : amies pour la vie,Telefilm,95 mn,NA,NA
455,14 novembre 2014,RMC Decouverte,1.1,vendredi,20.45,Les grains de sable de l'histoire,Documentaire,55 mn,NA,NA,NA,Les grains de sable de l'histoire,Documentaire,NA,NA,NA
456,14 novembre 2014,C Star,1.1,vendredi,20.50,Le Zap,Divertissement,155 mn,NA,NA,23.25,Enquête très spéciale,Magazine,60 mn,3 ,-16 ans
457,14 novembre 2014,6ter,0.5,vendredi,20.50,Reign : le destin d'une reine,Serie TV,120 mn,3 ,NA,23.20,Les enfants volés,Telefilm,140 mn,2 ,-10 ans
458,14 novembre 2014,RMC Story,0.3,vendredi,20.45,Face Off,Telerealitee,90 mn,2 ,NA,22.25,Ink Master : le meilleur tatoueur,Telerealitee,100 mn,3 ,NA
459,15 novembre 2014,TF1,22.9,samedi,20.55,Danse avec les stars,Divertissement,150 mn,NA,NA,23.25,"Danse avec les stars, la suite",Divertissement,50 mn,NA,NA
460,15 novembre 2014,France 2,22.3,samedi,20.50,Test-match,Sport,135 mn,NA,NA,23.05,On n'est pas couché,Talk-Show,195 mn,NA,NA
461,15 novembre 2014,France 3,14.1,samedi,20.45,Commissaire Magellan,Serie TV,100 mn,NA,NA,22.50,Dangereuses retrouvailles,Telefilm,90 mn,NA,-10 ans
462,15 novembre 2014,M6,10.8,samedi,20.50,NCIS : Los Angeles,Serie TV,110 mn,5 ,-10 ans,NA,NCIS : Los Angeles,Serie TV,NA,5 ,NA
463,15 novembre 2014,France 5,4.5,samedi,20.35,Échappées belles,Magazine,95 mn,NA,NA,22.10,Carnets de marche,Documentaire,50 mn,NA,NA
464,15 novembre 2014,C8,3.2,samedi,20.50,Noëlle Perna : «Mado prend Racine»,Spectacle,105 mn,NA,NA,22.35,La nuit des Chevaliers du Fiel,Spectacle,95 mn,NA,NA
465,15 novembre 2014,W9,2.8,samedi,20.50,Les Simpson,Serie TV,50 mn,2 ,NA,NA,Les Simpson,Serie TV,NA,2 ,NA
466,15 novembre 2014,Arte,2.5,samedi,20.50,Aux origines de l'humanité,Documentaire,100 mn,3 ,NA,23.20,Kraftwerk - Pop Art,Documentaire,60 mn,NA,NA
467,15 novembre 2014,TMC,2.1,samedi,20.50,"New York, section criminelle",Serie TV,110 mn,6 ,NA,NA,"New York, section criminelle",Serie TV,NA,6 ,NA
468,15 novembre 2014,NRJ 12,1.7,samedi,20.50,Le super bêtisier de l'année,Divertissement,200 mn,3 ,NA,NA,Le super bêtisier de l'année,Divertissement,NA,3 ,NA
469,15 novembre 2014,TFX,1.2,samedi,20.50,Chroniques criminelles,Magazine,480 mn,2 ,-10 ans,NA,Chroniques criminelles,Magazine,NA,2 ,NA
470,15 novembre 2014,Gulli,1,samedi,20.45,Intervilles international,Divertissement,80 mn,NA,NA,22.05,Intervilles International,Divertissement,75 mn,NA,NA
471,15 novembre 2014,France 4,1,samedi,20.45,Fort Boyard,Jeu,240 mn,2 ,NA,00.25,"Monte le son, le live - Festival les Inrocks",Concert,50 mn,NA,NA
472,15 novembre 2014,C Star,0.9,samedi,20.50,Valentine et compagnie,Telefilm,105 mn,NA,NA,22.35,Valentine,Telefilm,100 mn,NA,NA
473,15 novembre 2014,6ter,0.8,samedi,20.50,Juin 1940 : le grand chaos,Documentaire,100 mn,NA,NA,22.30,Treblinka : le camp de l'horreur,Documentaire,55 mn,NA,NA
474,15 novembre 2014,RMC Decouverte,0.7,samedi,20.45,Alien Theory,Documentaire,100 mn,5 ,NA,NA,Alien Theory,Documentaire,NA,5 ,NA
475,15 novembre 2014,RMC Story,0.3,samedi,20.45,P.J,Serie TV,100 mn,4 ,NA,NA,P.J,Serie TV,NA,4 ,NA
476,16 novembre 2014,TF1,22.2,dimanche,20.55,Sécurité rapprochée,Film,135 mn,NA,-12 ans,23.10,Esprits criminels,Serie TV,100 mn,3 ,-12 ans
477,16 novembre 2014,France 2,15.3,dimanche,20.50,Braquage à l'anglaise,Film,110 mn,NA,NA,22.40,"Un jour, un destin",Magazine,100 mn,NA,NA
478,16 novembre 2014,France 3,13.8,dimanche,20.45,Les enquêtes de Murdoch,Serie TV,90 mn,4 ,NA,NA,Les enquêtes de Murdoch,Serie TV,NA,4 ,NA
479,16 novembre 2014,M6,12.1,dimanche,20.50,Zone interdite,Magazine,125 mn,NA,-12 ans,22.55,Enquête exclusive,Magazine,150 mn,2 ,-10 ans
480,16 novembre 2014,C8,5.2,dimanche,20.50,La vache et le prisonnier,Film,135 mn,NA,NA,23.05,En quête d'actualité,Magazine,100 mn,NA,NA
481,16 novembre 2014,Arte,3.4,dimanche,20.45,Melancholia,Film,130 mn,NA,NA,22.55,"Vaclav Havel, un homme libre",Documentaire,75 mn,NA,NA
482,16 novembre 2014,France 5,3.1,dimanche,20.41,La guerre des colas,Documentaire,49 mn,NA,NA,22.26,"Juin 1940, le piège du «Massilia»",Documentaire,59 mn,NA,NA
483,16 novembre 2014,TMC,2.5,dimanche,20.50,Les experts : Manhattan,Serie TV,100 mn,3 ,-10 ans,23.25,"Ce soir, on rit avec Claudia Tagbo",Spectacle,125 mn,NA,NA
484,16 novembre 2014,TFX,2.5,dimanche,20.50,La boum,Film,120 mn,NA,NA,22.50,Confessions intimes,Magazine,180 mn,2 ,NA
485,16 novembre 2014,France 4,1.9,dimanche,20.45,Moonrise Kingdom,Film,90 mn,NA,-10 ans,22.15,Burn After Reading,Film,95 mn,NA,NA
486,16 novembre 2014,NRJ 12,1.4,dimanche,20.50,Décalage horaire,Film,100 mn,NA,NA,22.30,Le dernier Cheyenne,Film,120 mn,NA,-10 ans
487,16 novembre 2014,W9,1.4,dimanche,20.50,A Dangerous Man,Telefilm,110 mn,NA,-10 ans,22.40,Spartacus : vengeance,Serie TV,60 mn,NA,-16 ans
488,16 novembre 2014,6ter,1.2,dimanche,20.50,Crocodile Dundee,Film,105 mn,NA,NA,22.35,L'aventure du Poséidon,Telefilm,190 mn,2 ,NA
489,16 novembre 2014,Gulli,0.8,dimanche,20.45,"Cirque d\'hiver Bouglione : ""Phénoménal""",Spectacle,95 mn,NA,NA,22.20,21e Festival international du cirque de Massy,Spectacle,100 mn,NA,NA
490,16 novembre 2014,RMC Story,0.7,dimanche,20.40,Les autres,Film,120 mn,NA,-12 ans,22.40,Phénomène paranormal,Documentaire,90 mn,3 ,NA
491,16 novembre 2014,RMC Decouverte,0.5,dimanche,20.45,"Keith Barry, profession mentaliste",Documentaire,100 mn,2 ,NA,22.30,"Dynamo, le magicien de l'impossible",Documentaire,90 mn,4 ,NA
492,16 novembre 2014,C Star,0.5,dimanche,20.50,Le Zap choc,Divertissement,120 mn,NA,NA,22.50,Top models exhibitionnistes,Telefilm,105 mn,NA,-16 ans
493,17 novembre 2014,TF1,21.9,lundi,20.55,Camping Paradis,Serie TV,120 mn,NA,NA,22.55,"New York, unité spéciale",Serie TV,100 mn,3 ,-10 ans
494,17 novembre 2014,France 2,18.9,lundi,20.50,Castle,Serie TV,80 mn,3 ,NA,23.05,Mots croisés,Magazine,75 mn,NA,NA
495,17 novembre 2014,M6,11.9,lundi,20.50,Under the Dome,Serie TV,90 mn,4 ,-10 ans,NA,Under the Dome,Serie TV,NA,4 ,NA
496,17 novembre 2014,France 3,11.6,lundi,20.45,"Joe Dassin, le roman de sa vie",Documentaire,115 mn,NA,NA,23.41,La démocratie fracturée,Documentaire,49 mn,NA,NA
497,17 novembre 2014,TMC,4,lundi,20.50,Gladiator,Film,155 mn,NA,-12 ans,23.25,"Robin des Bois, prince des voleurs",Film,145 mn,NA,NA
498,17 novembre 2014,France 5,3.7,lundi,20.40,Le comte de Monte-Cristo,Telefilm,110 mn,NA,NA,22.30,C dans l'air,Magazine,65 mn,NA,NA
499,17 novembre 2014,Arte,3.5,lundi,20.50,Le Havre,Film,90 mn,NA,NA,23.15,Tue-moi,Film,85 mn,NA,NA
500,17 novembre 2014,W9,3.4,lundi,20.50,Volte/face,Film,155 mn,NA,-12 ans,23.25,Enquêtes criminelles : le magazine des faits divers,Magazine,120 mn,NA,-10 ans
501,17 novembre 2014,C8,2.5,lundi,20.50,Le dernier des Templiers,Film,110 mn,NA,-12 ans,22.40,Au coeur de l'enquête,Magazine,100 mn,NA,NA
502,17 novembre 2014,NRJ 12,2.1,lundi,20.50,Crimes,Magazine,110 mn,NA,-12 ans,22.40,Crimes en Suisse,Magazine,110 mn,NA,-10 ans
503,17 novembre 2014,TFX,2,lundi,20.50,Super Nanny,Divertissement,210 mn,2 ,NA,00.20,Obèses : perte de poids extrême,Telerealitee,120 mn,2 ,NA
504,17 novembre 2014,Gulli,1.9,lundi,20.45,La grosse caisse,Film,100 mn,NA,NA,22.25,On a tous quelque chose de Bourvil,Documentaire,100 mn,NA,NA
505,17 novembre 2014,C Star,1.7,lundi,20.50,Match amical Espoirs,Sport,125 mn,NA,NA,22.55,Red Sky,Telefilm,95 mn,NA,-10 ans
506,17 novembre 2014,6ter,1.1,lundi,19.45,Buffy contre les vampires,Serie TV,65 mn,NA,-10 ans,20.50,Kaamelott,Serie TV,255 mn,NA,NA
507,17 novembre 2014,France 4,0.9,lundi,20.45,On n'est plus des pigeons,Magazine,160 mn,2 ,NA,23.25,Love Me Tinder,Documentaire,45 mn,NA,NA
508,17 novembre 2014,RMC Decouverte,0.6,lundi,20.45,Megafactories,Documentaire,100 mn,3 ,NA,23.30,Les défis de la construction,Documentaire,55 mn,NA,NA
509,17 novembre 2014,RMC Story,0.5,lundi,20.45,Révélations,Magazine,200 mn,3 ,NA,NA,Révélations,Magazine,NA,3 ,NA
510,18 novembre 2014,TF1,24.8,mardi,20.45,Match amical,Sport,130 mn,NA,NA,23.45,Baby Boom,Documentaire,150 mn,2 ,NA
511,18 novembre 2014,France 3,12.3,mardi,20.45,Un village français,Serie TV,100 mn,2 ,NA,23.35,"Du côté de chez Dave, l'intégrale",Divertissement,70 mn,NA,NA
512,18 novembre 2014,France 2,11.9,mardi,20.50,Secrets d'Histoire,Magazine,100 mn,NA,NA,22.41,"Putain, c'est pas simple !",Documentaire,79 mn,NA,-16 ans
513,18 novembre 2014,M6,10.2,mardi,20.50,Le journal de Bridget Jones,Film,95 mn,NA,NA,22.25,"Bridget Jones, l'âge de raison",Film,125 mn,NA,NA
514,18 novembre 2014,France 5,5.5,mardi,20.41,Les dates de péremption sont-elles périmées ?,Documentaire,64 mn,NA,NA,21.45,L'école en bateau - L'enfance sabordée,Documentaire,55 mn,NA,NA
515,18 novembre 2014,C8,4.2,mardi,20.50,Une proie certaine,Telefilm,105 mn,NA,-10 ans,22.35,Que justice soit faite,Film,115 mn,NA,-12 ans
516,18 novembre 2014,TMC,3.3,mardi,20.50,"New York, section criminelle",Serie TV,100 mn,4 ,-10 ans,NA,"New York, section criminelle",Serie TV,NA,4 ,NA
517,18 novembre 2014,W9,3.3,mardi,20.50,Enquête d'action,Magazine,260 mn,2 ,-10 ans,01.05,Programmes de nuit,Magazine,295 mn,NA,NA
518,18 novembre 2014,NRJ 12,3.1,mardi,20.50,Mon voisin le tueur,Film,110 mn,NA,-10 ans,22.40,Sex crimes 4 : partie à quatre,Film,100 mn,NA,-12 ans
519,18 novembre 2014,France 4,1.8,mardi,20.45,Permis de conduire : l'expérience inédite,Magazine,160 mn,4 ,-10 ans,NA,Permis de conduire : l'expérience inédite,Magazine,NA,4 ,NA
520,18 novembre 2014,Arte,1.5,mardi,20.50,Poulet aux prunes,Film,90 mn,NA,NA,22.20,Play,Film,115 mn,NA,NA
521,18 novembre 2014,C Star,1.3,mardi,20.50,Ambre a disparu,Telefilm,200 mn,2 ,NA,00.15,Programmes de nuit,Magazine,405 mn,NA,NA
522,18 novembre 2014,Gulli,1.2,mardi,20.45,Peter et Elliott le dragon,Film,100 mn,NA,NA,22.25,Les mini sosies font leur show,Divertissement,100 mn,NA,NA
523,18 novembre 2014,TFX,1,mardi,20.50,Comme t'y es belle !,Film,105 mn,NA,NA,22.35,Revolution,Serie TV,110 mn,3 ,-10 ans
524,18 novembre 2014,RMC Story,0.8,mardi,20.45,Cherche fiancé tous frais payés,Film,115 mn,NA,NA,22.40,Pénélope,Film,115 mn,NA,NA
525,18 novembre 2014,RMC Decouverte,0.7,mardi,20.45,Magnitude 10,Documentaire,95 mn,NA,NA,22.20,Planéte Terre: Origines de la vie,Documentaire,95 mn,NA,NA
526,18 novembre 2014,6ter,0.5,mardi,20.50,Once Upon a Time,Serie TV,90 mn,4 ,-10 ans,NA,Once Upon a Time,Serie TV,NA,4 ,NA
527,19 novembre 2014,TF1,24.8,mercredi,20.55,Esprits criminels,Serie TV,100 mn,3 ,-12 ans,23.30,Arrow,Serie TV,100 mn,2 ,-10 ans
528,19 novembre 2014,France 2,16.8,mercredi,20.50,Piège blanc,Telefilm,90 mn,NA,NA,22.30,Un soir à la tour Eiffel,Magazine,100 mn,NA,NA
529,19 novembre 2014,France 3,14.6,mercredi,20.45,Des racines et des ailes,Magazine,125 mn,NA,NA,23.51,Ernani,Opera,129 mn,NA,NA
530,19 novembre 2014,M6,15.6,mercredi,20.50,Le meilleur pâtissier,Divertissement,145 mn,NA,NA,23.15,Le meilleur pâtissier : à vos fourneaux !,Divertissement,70 mn,NA,NA
531,19 novembre 2014,W9,3.2,mercredi,20.50,Enquêtes criminelles : le magazine des faits divers,Magazine,230 mn,3 ,-10 ans,NA,Enquêtes criminelles : le magazine des faits divers,Magazine,NA,3 ,NA
532,19 novembre 2014,France 4,2.6,mercredi,20.46,Hot Fuzz,Film,114 mn,NA,-12 ans,22.41,La merditude des choses,Film,104 mn,NA,NA
533,19 novembre 2014,France 5,2.2,mercredi,20.40,La maison France 5,Magazine,60 mn,NA,NA,21.40,"Silence, ça pousse !",Magazine,50 mn,NA,NA
534,19 novembre 2014,C8,2.2,mercredi,20.50,En quête d'actualité,Magazine,200 mn,2 ,NA,00.15,Programme de nuit,Information,345 mn,NA,NA
535,19 novembre 2014,TMC,2.0,mercredi,20.50,Les 100 plus grands...,Divertissement,250 mn,2 ,NA,01.00,Le grand bêtisier d'Halloween,Divertissement,105 mn,NA,NA
536,19 novembre 2014,Arte,1.6,mercredi,20.50,La petite Venise,Film,100 mn,NA,-10 ans,22.30,Tabou,Film,115 mn,NA,NA
537,19 novembre 2014,TFX,1.5,mercredi,20.50,24 heures aux urgences,Documentaire,150 mn,3 ,NA,NA,24 heures aux urgences,Documentaire,NA,3 ,NA
538,19 novembre 2014,C Star,1.3,mercredi,20.50,True Justice,Serie TV,190 mn,2 ,-10 ans,00.00,Programmes de nuit,Magazine,420 mn,NA,NA
539,19 novembre 2014,NRJ 12,1.1,mercredi,20.50,Atomic Apocalypse,Telefilm,110 mn,NA,-10 ans,22.40,Hyper tempête,Telefilm,100 mn,NA,NA
540,19 novembre 2014,RMC Decouverte,1.0,mercredi,20.45,Top Gear USA,Magazine,100 mn,3 ,NA,NA,Top Gear USA,Magazine,NA,3 ,NA
541,19 novembre 2014,Gulli,1.0,mercredi,20.45,Rintintin,Serie TV,60 mn,6 ,NA,NA,Rintintin,Serie TV,NA,6 ,NA
542,19 novembre 2014,6ter,0.7,mercredi,20.50,Desperate Housewives,Serie TV,100 mn,4 ,NA,NA,Desperate Housewives,Serie TV,NA,4 ,NA
543,19 novembre 2014,RMC Story,0.7,mercredi,20.45,Ink Master : le meilleur tatoueur,Telerealitee,110 mn,5 ,NA,NA,Ink Master : le meilleur tatoueur,Telerealitee,NA,5 ,NA
544,20 novembre 2014,TF1,28.4,jeudi,20.55,Profilage,Serie TV,130 mn,4 ,NA,NA,Profilage,Serie TV,NA,4 ,NA
545,20 novembre 2014,France 2,15.7,jeudi,20.50,Envoyé spécial,Magazine,95 mn,NA,NA,22.25,Complément d'enquête,Magazine,60 mn,NA,NA
546,20 novembre 2014,M6,9.0,jeudi,20.50,Bones,Serie TV,110 mn,4 ,-10 ans,NA,Bones,Serie TV,NA,4 ,NA
547,20 novembre 2014,France 3,7.6,jeudi,20.45,Million Dollar Baby,Film,130 mn,NA,NA,23.56,Requiem pour une tueuse,Film,89 mn,NA,-10 ans
548,20 novembre 2014,C8,6.1,jeudi,20.50,Touche pas à mes héros !,Talk-Show,140 mn,NA,NA,23.10,Touche pas à mon poste !,Talk-Show,90 mn,NA,NA
549,20 novembre 2014,TMC,5.0,jeudi,20.50,Les visiteurs 2 : les couloirs du temps,Film,125 mn,NA,NA,22.55,Les visiteurs,Film,115 mn,NA,NA
550,20 novembre 2014,TFX,2.7,jeudi,20.50,Phénomènes,Film,100 mn,NA,-10 ans,22.30,The Walking Dead,Serie TV,110 mn,4 ,-16 ans
551,20 novembre 2014,W9,3.0,jeudi,20.50,Il faut sauver le soldat Ryan,Film,190 mn,NA,-12 ans,00.00,Enquête d'action,Magazine,70 mn,NA,NA
552,20 novembre 2014,Gulli,2.0,jeudi,20.45,Famille de coeur,Telefilm,100 mn,NA,NA,22.25,L'avenir c'est nous,Documentaire,100 mn,NA,NA
553,20 novembre 2014,Arte,1.9,jeudi,20.50,Lilyhammer,Serie TV,100 mn,2 ,NA,22.25,L'hôpital et ses fantômes,Serie TV,140 mn,2 ,NA
