Programme,n,f
Suite,9298,19.150601417037404
90,4065,8.372466633712309
120,3668,7.554786620530566
110,3121,6.428159499093756
100,2924,6.022408963585434
60,2571,5.295353435491844
55,2022,4.1646070192783
105,1730,3.5631899818751025
50,1621,3.3386884165430875
95,1476,3.0400395452298565
115,1427,2.939116823199868
70,1201,2.473636513428901
65,1012,2.084363157027517
80,938,1.9319492502883506
85,916,1.886637007744274
130,770,1.5859284890426757
125,713,1.4685285879057506
75,542,1.1163288844949744
45,514,1.0586587576206954
140,466,0.9597956829790739
150,444,0.9144834404349975
135,431,0.8877080243862251
30,355,0.7311748228703246
160,249,0.5128521997034108
145,248,0.5107925523150436
180,246,0.5066732575383095
210,235,0.48401713626627124
40,234,0.48195748887790407
170,217,0.44694348327566324
360,215,0.44282418849892896
420,212,0.4366452463338276
54,191,0.39339265117811834
220,182,0.3748558246828143
200,173,0.3563189981875103
190,165,0.33984181908057337
300,149,0.3068874608666996
20,144,0.2965892239248641
155,133,0.27393310265282583
165,126,0.25951557093425603
59,120,0.2471576866040534
240,108,0.22244191794364804
315,95,0.1956665018948756
320,91,0.18742791234140715
230,86,0.1771296753995716
330,83,0.17095073323447027
340,81,0.16683143845773604
15,79,0.16271214368100181
35,76,0.15653320151590047
195,71,0.14623496457406493
25,71,0.14623496457406493
375,71,0.14623496457406493
480,69,0.1421156697973307
49,67,0.13799637502059647
270,59,0.12151919591365959
310,50,0.10298236941835558
325,48,0.09886307464162135
89,42,0.08650519031141869
175,41,0.08444554292305158
64,40,0.08238589553468446
10,39,0.08032624814631735
94,39,0.08032624814631735
405,37,0.07620695336958314
74,37,0.07620695336958314
69,36,0.07414730598121602
345,36,0.07414730598121602
185,36,0.07414730598121602
350,34,0.0700280112044818
280,33,0.06796836381611468
390,33,0.06796836381611468
305,33,0.06796836381611468
380,31,0.06384906903938045
250,31,0.06384906903938045
290,30,0.06178942165101335
1,29,0.05972977426264624
5,29,0.05972977426264624
370,28,0.05767012687427912
295,26,0.053550832097544895
450,25,0.05149118470917779
84,25,0.05149118470917779
365,24,0.049431537320810674
335,23,0.04737188993244357
410,23,0.04737188993244357
99,22,0.04531224254407645
275,20,0.04119294776734223
79,20,0.04119294776734223
260,20,0.04119294776734223
58,20,0.04119294776734223
400,19,0.03913330037897512
109,16,0.03295435821387378
53,14,0.02883506343713956
114,14,0.02883506343713956
355,14,0.02883506343713956
385,13,0.026775416048772448
88,12,0.024715768660405337
104,12,0.024715768660405337
34,12,0.024715768660405337
119,11,0.022656121272038227
108,10,0.020596473883671116
205,10,0.020596473883671116
285,10,0.020596473883671116
395,9,0.018536826495304005
98,9,0.018536826495304005
124,7,0.01441753171856978
29,7,0.01441753171856978
118,6,0.012357884330202669
48,5,0.010298236941835558
373,5,0.010298236941835558
139,5,0.010298236941835558
215,5,0.010298236941835558
415,4,0.008238589553468446
149,4,0.008238589553468446
425,4,0.008238589553468446
435,4,0.008238589553468446
2,4,0.008238589553468446
78,4,0.008238589553468446
129,4,0.008238589553468446
440,3,0.006178942165101334
245,3,0.006178942165101334
144,3,0.006178942165101334
134,3,0.006178942165101334
255,3,0.006178942165101334
138,3,0.006178942165101334
44,3,0.006178942165101334
225,3,0.006178942165101334
349,2,0.004119294776734223
720,2,0.004119294776734223
137,2,0.004119294776734223
52,2,0.004119294776734223
174,2,0.004119294776734223
168,2,0.004119294776734223
14,2,0.004119294776734223
87,2,0.004119294776734223
128,2,0.004119294776734223
19,2,0.004119294776734223
63,2,0.004119294776734223
72,2,0.004119294776734223
348,2,0.004119294776734223
97,2,0.004119294776734223
362,1,0.0020596473883671114
372,1,0.0020596473883671114
82,1,0.0020596473883671114
159,1,0.0020596473883671114
363,1,0.0020596473883671114
126,1,0.0020596473883671114
870,1,0.0020596473883671114
352,1,0.0020596473883671114
8,1,0.0020596473883671114
445,1,0.0020596473883671114
378,1,0.0020596473883671114
342,1,0.0020596473883671114
354,1,0.0020596473883671114
68,1,0.0020596473883671114
393,1,0.0020596473883671114
389,1,0.0020596473883671114
24,1,0.0020596473883671114
187,1,0.0020596473883671114
640,1,0.0020596473883671114
339,1,0.0020596473883671114
235,1,0.0020596473883671114
178,1,0.0020596473883671114
750,1,0.0020596473883671114
92,1,0.0020596473883671114
660,1,0.0020596473883671114
630,1,0.0020596473883671114
158,1,0.0020596473883671114
460,1,0.0020596473883671114
154,1,0.0020596473883671114
449,1,0.0020596473883671114
39,1,0.0020596473883671114
209,1,0.0020596473883671114
38,1,0.0020596473883671114
18,1,0.0020596473883671114
690,1,0.0020596473883671114
465,1,0.0020596473883671114
334,1,0.0020596473883671114
57,1,0.0020596473883671114
710,1,0.0020596473883671114
453,1,0.0020596473883671114
600,1,0.0020596473883671114
374,1,0.0020596473883671114
329,1,0.0020596473883671114
86,1,0.0020596473883671114
